"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,16 Jul 2021 22:21:03.918,16 Jul 2021 22:26:56.513,352.595
81,16 Jul 2021 23:57:06.786,17 Jul 2021 00:03:15.023,368.236
82,17 Jul 2021 01:34:09.413,17 Jul 2021 01:39:38.842,329.429
83,17 Jul 2021 03:10:32.310,17 Jul 2021 03:16:41.995,369.685
84,17 Jul 2021 04:46:51.158,17 Jul 2021 04:52:43.564,352.406
85,17 Jul 2021 21:25:47.515,17 Jul 2021 21:30:25.046,277.531
86,17 Jul 2021 23:00:51.283,17 Jul 2021 23:07:12.341,381.058
87,18 Jul 2021 00:37:49.349,18 Jul 2021 00:43:24.466,335.117
88,18 Jul 2021 02:14:28.673,18 Jul 2021 02:20:19.750,351.077
89,18 Jul 2021 03:50:37.880,18 Jul 2021 03:56:58.218,380.338
90,18 Jul 2021 22:04:47.501,18 Jul 2021 22:11:06.675,379.174
91,18 Jul 2021 23:41:25.594,18 Jul 2021 23:47:16.092,350.498
92,19 Jul 2021 01:18:20.468,19 Jul 2021 01:23:55.740,335.271
93,19 Jul 2021 02:54:32.290,19 Jul 2021 03:00:54.147,381.857
94,19 Jul 2021 04:31:19.135,19 Jul 2021 04:35:58.430,279.295
95,19 Jul 2021 21:09:01.829,19 Jul 2021 21:14:52.635,350.806
96,19 Jul 2021 22:45:02.929,19 Jul 2021 22:51:11.660,368.731
97,20 Jul 2021 00:22:05.633,20 Jul 2021 00:27:34.757,329.124
98,20 Jul 2021 01:58:29.040,20 Jul 2021 02:04:37.691,368.652
99,20 Jul 2021 03:34:47.183,20 Jul 2021 03:40:40.883,353.699
100,20 Jul 2021 20:13:45.960,20 Jul 2021 20:18:19.030,273.070
101,20 Jul 2021 21:48:46.728,20 Jul 2021 21:55:07.972,381.243
102,20 Jul 2021 23:25:44.317,20 Jul 2021 23:31:19.661,335.344
103,21 Jul 2021 01:02:24.271,21 Jul 2021 01:08:14.300,350.028
104,21 Jul 2021 02:38:33.315,21 Jul 2021 02:44:53.719,380.404
105,21 Jul 2021 20:52:42.481,21 Jul 2021 20:59:01.129,378.648
106,21 Jul 2021 22:29:19.458,21 Jul 2021 22:35:10.529,351.071
107,22 Jul 2021 00:06:14.815,22 Jul 2021 00:11:49.350,334.535
108,22 Jul 2021 01:42:26.887,22 Jul 2021 01:48:48.088,381.201
109,22 Jul 2021 03:19:11.999,22 Jul 2021 03:23:55.152,283.153
110,22 Jul 2021 19:56:56.662,22 Jul 2021 20:02:45.626,348.964
111,22 Jul 2021 21:32:55.890,22 Jul 2021 21:39:05.229,369.339
112,22 Jul 2021 23:09:58.667,22 Jul 2021 23:15:27.594,328.927
113,23 Jul 2021 00:46:22.631,23 Jul 2021 00:52:30.281,367.650
114,23 Jul 2021 02:22:40.082,23 Jul 2021 02:28:35.137,355.055
115,23 Jul 2021 19:01:41.439,23 Jul 2021 19:06:09.784,268.345
116,23 Jul 2021 20:36:39.019,23 Jul 2021 20:43:00.528,381.509
117,23 Jul 2021 22:13:36.088,23 Jul 2021 22:19:11.789,335.701
118,23 Jul 2021 23:50:16.707,23 Jul 2021 23:56:05.749,349.042
119,24 Jul 2021 01:26:25.624,24 Jul 2021 01:32:46.126,380.503
120,24 Jul 2021 03:04:52.887,24 Jul 2021 03:05:40.315,47.428
121,24 Jul 2021 19:40:34.336,24 Jul 2021 19:46:52.487,378.151
122,24 Jul 2021 21:17:10.127,24 Jul 2021 21:23:01.899,351.772
123,24 Jul 2021 22:54:05.981,24 Jul 2021 22:59:39.870,333.889
