"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,17 Jul 2021 03:13:51.295,17 Jul 2021 03:19:36.246,344.950
81,17 Jul 2021 19:54:29.882,17 Jul 2021 19:57:06.192,156.309
82,17 Jul 2021 21:28:20.319,17 Jul 2021 21:34:40.611,380.292
83,17 Jul 2021 23:04:48.195,17 Jul 2021 23:10:55.299,367.104
84,18 Jul 2021 00:41:22.611,18 Jul 2021 00:47:33.043,370.432
85,18 Jul 2021 02:17:37.272,18 Jul 2021 02:23:53.846,376.574
86,18 Jul 2021 20:32:31.306,18 Jul 2021 20:38:29.398,358.092
87,18 Jul 2021 22:08:32.247,18 Jul 2021 22:14:48.328,376.081
88,18 Jul 2021 23:45:13.507,18 Jul 2021 23:51:16.507,363.000
89,19 Jul 2021 01:21:30.158,19 Jul 2021 01:27:54.365,384.207
90,19 Jul 2021 02:58:19.072,19 Jul 2021 03:02:49.929,270.857
91,19 Jul 2021 19:37:05.139,19 Jul 2021 19:42:04.732,299.593
92,19 Jul 2021 21:12:20.016,19 Jul 2021 21:18:42.927,382.911
93,19 Jul 2021 22:49:00.096,19 Jul 2021 22:55:01.820,361.723
94,20 Jul 2021 00:25:24.897,20 Jul 2021 00:31:44.064,379.167
95,20 Jul 2021 02:01:47.377,20 Jul 2021 02:07:33.722,346.344
96,20 Jul 2021 18:42:31.741,20 Jul 2021 18:44:57.216,145.475
97,20 Jul 2021 20:16:16.350,20 Jul 2021 20:22:36.154,379.804
98,20 Jul 2021 21:52:43.461,20 Jul 2021 21:58:50.678,367.217
99,20 Jul 2021 23:29:18.203,20 Jul 2021 23:35:27.970,369.767
100,21 Jul 2021 01:05:32.728,21 Jul 2021 01:11:49.567,376.839
101,21 Jul 2021 19:20:26.993,21 Jul 2021 19:26:23.632,356.639
102,21 Jul 2021 20:56:26.533,21 Jul 2021 21:02:42.843,376.311
103,21 Jul 2021 22:33:07.910,21 Jul 2021 22:39:10.475,362.564
104,22 Jul 2021 00:09:24.746,22 Jul 2021 00:15:48.597,383.852
105,22 Jul 2021 01:46:12.044,22 Jul 2021 01:50:46.736,274.692
106,22 Jul 2021 18:25:01.004,22 Jul 2021 18:29:57.172,296.168
107,22 Jul 2021 20:00:13.505,22 Jul 2021 20:06:36.485,382.980
108,22 Jul 2021 21:36:53.304,22 Jul 2021 21:42:54.945,361.641
109,22 Jul 2021 23:13:18.464,22 Jul 2021 23:19:37.006,378.542
110,23 Jul 2021 00:49:40.330,23 Jul 2021 00:55:28.136,347.807
111,23 Jul 2021 17:30:31.207,23 Jul 2021 17:32:44.460,133.252
112,23 Jul 2021 19:04:09.249,23 Jul 2021 19:10:28.606,379.356
113,23 Jul 2021 20:40:35.548,23 Jul 2021 20:46:42.985,367.437
114,23 Jul 2021 22:17:10.636,23 Jul 2021 22:23:19.805,369.169
115,23 Jul 2021 23:53:25.050,23 Jul 2021 23:59:42.207,377.157
116,24 Jul 2021 01:31:54.688,24 Jul 2021 01:32:29.130,34.442
117,24 Jul 2021 18:08:19.585,24 Jul 2021 18:14:14.749,355.164
118,24 Jul 2021 19:44:17.645,24 Jul 2021 19:50:34.288,376.643
119,24 Jul 2021 21:20:59.139,24 Jul 2021 21:27:01.365,362.226
120,24 Jul 2021 22:57:16.192,24 Jul 2021 23:03:39.738,383.546
121,25 Jul 2021 00:34:01.878,25 Jul 2021 00:38:40.501,278.623
122,25 Jul 2021 17:12:53.850,25 Jul 2021 17:17:46.428,292.579
