"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,15 Jul 2021 06:38:17.407,15 Jul 2021 06:43:36.534,319.127
81,15 Jul 2021 23:15:17.561,15 Jul 2021 23:21:31.139,373.578
82,16 Jul 2021 00:51:58.157,16 Jul 2021 00:57:34.525,336.368
83,16 Jul 2021 02:29:31.611,16 Jul 2021 02:33:55.930,264.319
84,16 Jul 2021 04:05:50.109,16 Jul 2021 04:11:30.936,340.827
85,16 Jul 2021 05:41:54.738,16 Jul 2021 05:48:07.267,372.529
86,16 Jul 2021 22:19:45.049,16 Jul 2021 22:25:10.179,325.131
87,16 Jul 2021 23:55:30.146,17 Jul 2021 00:01:36.633,366.487
88,17 Jul 2021 01:33:04.728,17 Jul 2021 01:37:39.115,274.388
89,17 Jul 2021 03:09:50.812,17 Jul 2021 03:14:56.396,305.584
90,17 Jul 2021 04:45:47.161,17 Jul 2021 04:52:10.761,383.600
91,17 Jul 2021 06:23:19.803,17 Jul 2021 06:26:13.962,174.159
92,17 Jul 2021 21:25:02.596,17 Jul 2021 21:28:09.971,187.375
93,17 Jul 2021 22:59:14.207,17 Jul 2021 23:05:36.207,382.000
94,18 Jul 2021 00:36:30.046,18 Jul 2021 00:41:32.670,302.624
95,18 Jul 2021 02:13:45.147,18 Jul 2021 02:18:21.161,276.014
96,18 Jul 2021 03:49:46.510,18 Jul 2021 03:55:55.514,369.003
97,18 Jul 2021 05:26:14.904,18 Jul 2021 05:31:36.603,321.699
98,18 Jul 2021 22:03:15.968,18 Jul 2021 22:09:28.549,372.581
99,18 Jul 2021 23:39:54.854,18 Jul 2021 23:45:32.318,337.464
100,19 Jul 2021 01:17:28.729,19 Jul 2021 01:21:52.612,263.884
101,19 Jul 2021 02:53:48.039,19 Jul 2021 02:59:27.157,339.119
102,19 Jul 2021 04:29:52.014,19 Jul 2021 04:36:05.127,373.113
103,19 Jul 2021 21:07:43.654,19 Jul 2021 21:13:05.796,322.142
104,19 Jul 2021 22:43:26.144,19 Jul 2021 22:49:33.451,367.306
105,20 Jul 2021 00:21:00.389,20 Jul 2021 00:25:35.285,274.896
106,20 Jul 2021 01:57:47.590,20 Jul 2021 02:02:51.458,303.867
107,20 Jul 2021 03:33:43.800,20 Jul 2021 03:40:06.826,383.026
108,20 Jul 2021 05:11:12.128,20 Jul 2021 05:14:15.447,183.319
109,20 Jul 2021 20:13:03.735,20 Jul 2021 20:16:01.467,177.733
110,20 Jul 2021 21:47:09.729,20 Jul 2021 21:53:31.877,382.148
111,20 Jul 2021 23:24:24.480,20 Jul 2021 23:29:28.218,303.738
112,21 Jul 2021 01:01:40.573,21 Jul 2021 01:06:15.359,274.787
113,21 Jul 2021 02:37:42.309,21 Jul 2021 02:43:49.992,367.683
114,21 Jul 2021 04:14:09.282,21 Jul 2021 04:19:33.607,324.324
115,21 Jul 2021 20:51:11.273,21 Jul 2021 20:57:22.841,371.567
116,21 Jul 2021 22:27:48.358,21 Jul 2021 22:33:27.051,338.694
117,22 Jul 2021 00:05:22.640,22 Jul 2021 00:09:46.223,263.583
118,22 Jul 2021 01:41:42.839,22 Jul 2021 01:47:20.249,337.410
119,22 Jul 2021 03:17:46.174,22 Jul 2021 03:23:59.897,373.723
120,22 Jul 2021 19:55:39.232,22 Jul 2021 20:00:58.239,319.007
121,22 Jul 2021 21:31:18.967,22 Jul 2021 21:37:27.200,368.232
122,22 Jul 2021 23:08:52.825,22 Jul 2021 23:13:28.407,275.582
123,23 Jul 2021 00:45:41.213,23 Jul 2021 00:50:43.404,302.191
124,23 Jul 2021 02:21:37.320,23 Jul 2021 02:27:59.780,382.461
125,23 Jul 2021 03:59:01.463,23 Jul 2021 04:02:13.756,192.293
126,23 Jul 2021 19:01:02.299,23 Jul 2021 19:03:49.347,167.048
127,23 Jul 2021 20:35:02.107,23 Jul 2021 20:41:24.455,382.348
128,23 Jul 2021 22:12:15.693,23 Jul 2021 22:17:20.716,305.023
129,23 Jul 2021 23:49:32.808,23 Jul 2021 23:54:06.468,273.660
130,24 Jul 2021 01:25:34.982,24 Jul 2021 01:31:41.349,366.366
131,24 Jul 2021 03:02:00.533,24 Jul 2021 03:07:27.547,327.014
132,24 Jul 2021 19:39:03.476,24 Jul 2021 19:45:14.014,370.538
133,24 Jul 2021 21:15:38.653,24 Jul 2021 21:21:18.728,340.076
134,24 Jul 2021 22:53:13.333,24 Jul 2021 22:57:36.773,263.440
135,25 Jul 2021 00:29:34.496,25 Jul 2021 00:35:10.215,335.718
136,25 Jul 2021 02:05:37.208,25 Jul 2021 02:11:51.585,374.377
137,25 Jul 2021 18:43:31.790,25 Jul 2021 18:48:47.489,315.699
138,25 Jul 2021 20:19:08.612,25 Jul 2021 20:25:17.871,369.259
139,25 Jul 2021 21:56:42.027,25 Jul 2021 22:01:18.476,276.450
140,25 Jul 2021 23:33:31.668,25 Jul 2021 23:38:32.236,300.569
141,26 Jul 2021 01:09:27.714,26 Jul 2021 01:15:49.624,381.910
142,26 Jul 2021 02:46:47.785,26 Jul 2021 02:50:08.898,201.112
143,26 Jul 2021 17:48:58.412,26 Jul 2021 17:51:33.473,155.061
144,26 Jul 2021 19:22:51.340,26 Jul 2021 19:29:13.936,382.596
145,26 Jul 2021 21:00:03.678,26 Jul 2021 21:05:10.157,306.479
146,26 Jul 2021 22:37:21.841,26 Jul 2021 22:41:54.486,272.645
147,27 Jul 2021 00:13:24.519,27 Jul 2021 00:19:29.585,365.067
148,27 Jul 2021 01:49:48.648,27 Jul 2021 01:55:18.418,329.770
149,27 Jul 2021 18:26:52.586,27 Jul 2021 18:33:02.050,369.464
150,27 Jul 2021 20:03:25.736,27 Jul 2021 20:09:07.337,341.601
151,27 Jul 2021 21:41:00.787,27 Jul 2021 21:45:24.257,263.470
152,27 Jul 2021 23:17:23.000,27 Jul 2021 23:22:57.054,334.054
153,28 Jul 2021 00:53:25.108,28 Jul 2021 00:59:40.175,375.067
154,28 Jul 2021 17:31:21.337,28 Jul 2021 17:36:33.533,312.197
155,28 Jul 2021 19:06:55.077,28 Jul 2021 19:13:05.453,370.375
156,28 Jul 2021 20:44:27.986,28 Jul 2021 20:49:05.486,277.500
157,28 Jul 2021 22:21:18.942,28 Jul 2021 22:26:17.948,299.007
158,28 Jul 2021 23:57:14.970,29 Jul 2021 00:03:36.352,381.382
159,29 Jul 2021 01:34:31.078,29 Jul 2021 01:38:00.877,209.798
160,29 Jul 2021 16:36:52.276,29 Jul 2021 16:39:13.643,141.367
161,29 Jul 2021 18:10:37.431,29 Jul 2021 18:17:00.308,382.878
162,29 Jul 2021 19:47:48.434,29 Jul 2021 19:52:56.534,308.101
163,29 Jul 2021 21:25:07.661,29 Jul 2021 21:29:39.410,271.749
164,29 Jul 2021 23:01:10.909,29 Jul 2021 23:07:14.691,363.782
165,30 Jul 2021 00:37:33.620,30 Jul 2021 00:43:06.214,332.594
166,30 Jul 2021 17:14:38.600,30 Jul 2021 17:20:46.944,368.344
167,30 Jul 2021 18:51:09.622,30 Jul 2021 18:56:52.868,343.246
168,30 Jul 2021 20:28:45.002,30 Jul 2021 20:33:08.670,263.668
169,30 Jul 2021 22:05:08.341,30 Jul 2021 22:10:40.764,332.423
170,30 Jul 2021 23:41:09.865,30 Jul 2021 23:47:25.666,375.801
171,31 Jul 2021 16:19:07.883,31 Jul 2021 16:24:16.350,308.467
172,31 Jul 2021 17:54:38.366,31 Jul 2021 18:00:49.943,371.577
173,31 Jul 2021 19:32:10.698,31 Jul 2021 19:36:49.432,278.734
174,31 Jul 2021 21:09:03.025,31 Jul 2021 21:14:00.545,297.520
175,31 Jul 2021 22:44:59.081,31 Jul 2021 22:51:19.966,380.885
176,1 Aug 2021 00:22:11.330,1 Aug 2021 00:25:49.693,218.364
177,1 Aug 2021 15:24:44.201,1 Aug 2021 15:26:49.538,125.338

