"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,17 Jul 2021 06:19:02.880,17 Jul 2021 06:23:47.243,284.363
81,17 Jul 2021 23:00:13.693,17 Jul 2021 23:02:14.611,120.918
82,18 Jul 2021 00:33:45.751,18 Jul 2021 00:39:58.817,373.066
83,18 Jul 2021 02:09:54.679,18 Jul 2021 02:16:15.391,380.712
84,18 Jul 2021 03:46:16.380,18 Jul 2021 03:52:39.887,383.508
85,18 Jul 2021 05:22:38.052,18 Jul 2021 05:28:24.878,346.826
86,18 Jul 2021 23:38:01.544,18 Jul 2021 23:43:46.337,344.793
87,19 Jul 2021 01:13:45.455,19 Jul 2021 01:20:08.496,383.042
88,19 Jul 2021 02:50:09.606,19 Jul 2021 02:56:30.391,380.785
89,19 Jul 2021 04:26:25.854,19 Jul 2021 04:32:40.010,374.156
90,19 Jul 2021 06:04:05.829,19 Jul 2021 06:06:16.921,131.092
91,19 Jul 2021 22:42:39.578,19 Jul 2021 22:47:20.206,280.627
92,20 Jul 2021 00:17:39.770,20 Jul 2021 00:24:02.188,382.419
93,20 Jul 2021 01:54:00.653,20 Jul 2021 02:00:20.000,379.347
94,20 Jul 2021 03:30:18.426,20 Jul 2021 03:36:41.580,383.154
95,20 Jul 2021 05:06:58.257,20 Jul 2021 05:11:45.511,287.255
96,20 Jul 2021 21:48:17.010,20 Jul 2021 21:50:03.986,106.976
97,20 Jul 2021 23:21:41.859,20 Jul 2021 23:27:54.167,372.308
98,21 Jul 2021 00:57:50.064,21 Jul 2021 01:04:10.663,380.599
99,21 Jul 2021 02:34:11.882,21 Jul 2021 02:40:35.001,383.119
100,21 Jul 2021 04:10:33.115,21 Jul 2021 04:16:21.091,347.976
101,21 Jul 2021 22:25:57.278,21 Jul 2021 22:31:40.377,343.099
102,22 Jul 2021 00:01:39.877,22 Jul 2021 00:08:02.851,382.973
103,22 Jul 2021 01:38:04.008,22 Jul 2021 01:44:24.448,380.440
104,22 Jul 2021 03:14:20.178,22 Jul 2021 03:20:34.616,374.438
105,22 Jul 2021 04:51:55.472,22 Jul 2021 04:54:17.138,141.665
106,22 Jul 2021 21:30:35.498,22 Jul 2021 21:35:12.414,276.916
107,22 Jul 2021 23:05:33.374,22 Jul 2021 23:11:55.558,382.184
108,23 Jul 2021 00:41:53.939,23 Jul 2021 00:48:13.103,379.164
109,23 Jul 2021 02:18:11.822,23 Jul 2021 02:24:34.811,382.990
110,23 Jul 2021 03:54:50.492,23 Jul 2021 03:59:40.740,290.248
111,23 Jul 2021 20:36:18.642,23 Jul 2021 20:37:48.872,90.231
112,23 Jul 2021 22:09:34.843,23 Jul 2021 22:15:46.427,371.584
113,23 Jul 2021 23:45:42.282,23 Jul 2021 23:52:02.860,380.578
114,24 Jul 2021 01:22:04.233,24 Jul 2021 01:28:27.033,382.800
115,24 Jul 2021 02:58:25.038,24 Jul 2021 03:04:14.241,349.203
116,24 Jul 2021 21:13:49.922,24 Jul 2021 21:19:31.300,341.378
117,24 Jul 2021 22:49:31.135,24 Jul 2021 22:55:54.128,382.993
118,25 Jul 2021 00:25:55.248,25 Jul 2021 00:32:15.424,380.176
119,25 Jul 2021 02:02:11.359,25 Jul 2021 02:08:26.142,374.783
120,25 Jul 2021 03:39:42.228,25 Jul 2021 03:42:14.077,151.849
121,25 Jul 2021 20:18:28.405,25 Jul 2021 20:23:01.442,273.037
