"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,20 Jul 2021 01:52:25.908,20 Jul 2021 01:58:48.607,382.699
81,20 Jul 2021 03:28:36.928,20 Jul 2021 03:34:58.572,381.644
82,20 Jul 2021 05:05:00.744,20 Jul 2021 05:10:23.537,322.794
83,20 Jul 2021 23:21:18.178,20 Jul 2021 23:26:09.553,291.375
84,21 Jul 2021 00:56:23.785,21 Jul 2021 01:02:42.620,378.836
85,21 Jul 2021 02:32:31.146,21 Jul 2021 02:38:54.530,383.384
86,21 Jul 2021 04:08:46.089,21 Jul 2021 04:14:44.877,358.789
87,21 Jul 2021 22:26:26.614,21 Jul 2021 22:29:20.310,173.696
88,22 Jul 2021 00:00:27.370,22 Jul 2021 00:06:35.095,367.725
89,22 Jul 2021 01:36:25.029,22 Jul 2021 01:42:48.494,383.465
90,22 Jul 2021 03:12:37.251,22 Jul 2021 03:18:52.507,375.256
91,22 Jul 2021 04:49:23.515,22 Jul 2021 04:53:34.639,251.124
92,22 Jul 2021 23:04:41.193,22 Jul 2021 23:10:23.234,342.041
93,23 Jul 2021 00:40:19.424,23 Jul 2021 00:46:41.908,382.485
94,23 Jul 2021 02:16:30.343,23 Jul 2021 02:22:51.876,381.533
95,23 Jul 2021 03:52:53.589,23 Jul 2021 03:58:17.991,324.402
96,23 Jul 2021 22:09:12.621,23 Jul 2021 22:14:01.050,288.429
97,23 Jul 2021 23:44:16.427,23 Jul 2021 23:50:34.923,378.496
98,24 Jul 2021 01:20:23.518,24 Jul 2021 01:26:46.744,383.226
99,24 Jul 2021 02:56:38.245,24 Jul 2021 03:02:37.702,359.457
100,24 Jul 2021 21:14:22.754,24 Jul 2021 21:17:08.467,165.713
101,24 Jul 2021 22:48:19.295,24 Jul 2021 22:54:26.316,367.020
102,25 Jul 2021 00:24:16.365,25 Jul 2021 00:30:39.699,383.335
103,25 Jul 2021 02:00:28.511,25 Jul 2021 02:06:43.947,375.436
104,25 Jul 2021 03:37:13.339,25 Jul 2021 03:41:28.288,254.949
105,25 Jul 2021 21:52:32.632,25 Jul 2021 21:58:13.208,340.576
106,25 Jul 2021 23:28:09.783,25 Jul 2021 23:34:32.133,382.350
107,26 Jul 2021 01:04:20.601,26 Jul 2021 01:10:42.103,381.502
108,26 Jul 2021 02:40:43.283,26 Jul 2021 02:46:09.395,326.111
109,26 Jul 2021 20:57:04.018,26 Jul 2021 21:01:49.387,285.370
110,26 Jul 2021 22:32:05.920,26 Jul 2021 22:38:24.142,378.221
111,27 Jul 2021 00:08:12.729,27 Jul 2021 00:14:35.877,383.148
112,27 Jul 2021 01:44:27.249,27 Jul 2021 01:50:27.455,360.206
113,27 Jul 2021 03:22:36.299,27 Jul 2021 03:23:24.030,47.731
114,27 Jul 2021 20:02:16.165,27 Jul 2021 20:04:53.156,156.991
115,27 Jul 2021 21:36:08.089,27 Jul 2021 21:42:14.446,366.357
116,27 Jul 2021 23:12:04.536,27 Jul 2021 23:18:27.820,383.285
117,28 Jul 2021 00:48:16.613,28 Jul 2021 00:54:32.314,375.701
118,28 Jul 2021 02:25:00.006,28 Jul 2021 02:29:18.896,258.890
119,28 Jul 2021 20:40:20.970,28 Jul 2021 20:46:00.070,339.100
120,28 Jul 2021 22:15:56.979,28 Jul 2021 22:22:19.274,382.295
121,28 Jul 2021 23:52:07.695,28 Jul 2021 23:58:29.251,381.555
122,29 Jul 2021 01:28:29.822,29 Jul 2021 01:33:57.749,327.927
123,29 Jul 2021 19:44:52.373,29 Jul 2021 19:49:34.562,282.189
124,29 Jul 2021 21:19:52.262,29 Jul 2021 21:26:10.270,378.008
125,29 Jul 2021 22:55:58.770,29 Jul 2021 23:02:21.932,383.161
126,30 Jul 2021 00:32:13.091,30 Jul 2021 00:38:14.145,361.055
127,30 Jul 2021 02:10:09.729,30 Jul 2021 02:11:24.099,74.370
128,30 Jul 2021 18:50:06.923,30 Jul 2021 18:52:34.291,147.368
129,30 Jul 2021 20:23:53.745,30 Jul 2021 20:29:59.468,365.723
130,30 Jul 2021 21:59:49.536,30 Jul 2021 22:06:12.860,383.324
131,30 Jul 2021 23:36:01.550,30 Jul 2021 23:42:17.600,376.050
132,31 Jul 2021 01:12:43.510,31 Jul 2021 01:17:06.459,262.948
133,31 Jul 2021 19:28:06.207,31 Jul 2021 19:33:43.798,337.591
134,31 Jul 2021 21:03:41.009,31 Jul 2021 21:10:03.325,382.315
135,31 Jul 2021 22:39:51.618,31 Jul 2021 22:46:13.310,381.691
136,1 Aug 2021 00:16:13.189,1 Aug 2021 00:21:43.040,329.851

