"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,17 Jul 2021 07:50:49.351,17 Jul 2021 07:56:23.354,334.003
81,18 Jul 2021 00:32:15.013,18 Jul 2021 00:33:44.176,89.162
82,18 Jul 2021 02:05:30.182,18 Jul 2021 02:11:46.123,375.941
83,18 Jul 2021 03:41:47.223,18 Jul 2021 03:48:02.091,374.868
84,18 Jul 2021 05:18:17.169,18 Jul 2021 05:24:34.178,377.009
85,18 Jul 2021 06:54:33.585,18 Jul 2021 07:00:44.845,371.260
86,19 Jul 2021 01:09:45.730,19 Jul 2021 01:15:33.016,347.286
87,19 Jul 2021 02:45:34.404,19 Jul 2021 02:51:55.253,380.849
88,19 Jul 2021 04:22:08.599,19 Jul 2021 04:28:20.300,371.701
89,19 Jul 2021 05:58:25.368,19 Jul 2021 06:04:48.887,383.519
90,19 Jul 2021 07:35:20.623,19 Jul 2021 07:39:31.299,250.676
91,20 Jul 2021 00:14:25.905,20 Jul 2021 00:19:04.479,278.574
92,20 Jul 2021 01:49:25.816,20 Jul 2021 01:55:49.315,383.499
93,20 Jul 2021 03:25:56.638,20 Jul 2021 03:32:07.484,370.846
94,20 Jul 2021 05:02:19.426,20 Jul 2021 05:08:41.974,382.548
95,20 Jul 2021 06:38:45.151,20 Jul 2021 06:44:20.797,335.646
96,20 Jul 2021 23:20:22.332,20 Jul 2021 23:21:29.431,67.099
97,21 Jul 2021 00:53:26.174,21 Jul 2021 00:59:41.408,375.234
98,21 Jul 2021 02:29:42.391,21 Jul 2021 02:35:57.293,374.902
99,21 Jul 2021 04:06:12.561,21 Jul 2021 04:12:29.027,376.466
100,21 Jul 2021 05:42:28.788,21 Jul 2021 05:48:40.512,371.724
101,21 Jul 2021 23:57:41.419,22 Jul 2021 00:03:26.949,345.530
102,22 Jul 2021 01:33:28.619,22 Jul 2021 01:39:49.563,380.944
103,22 Jul 2021 03:10:02.834,22 Jul 2021 03:16:14.166,371.332
104,22 Jul 2021 04:46:19.718,22 Jul 2021 04:52:43.060,383.341
105,22 Jul 2021 06:23:13.152,22 Jul 2021 06:27:28.226,255.074
106,22 Jul 2021 23:02:21.915,22 Jul 2021 23:06:56.465,274.550
107,23 Jul 2021 00:37:19.251,23 Jul 2021 00:43:42.640,383.388
108,23 Jul 2021 02:13:49.712,23 Jul 2021 02:20:00.468,370.756
109,23 Jul 2021 03:50:12.771,23 Jul 2021 03:56:34.852,382.080
110,23 Jul 2021 05:26:37.821,23 Jul 2021 05:32:15.184,337.363
111,23 Jul 2021 22:08:34.005,23 Jul 2021 22:09:04.157,30.152
112,23 Jul 2021 23:41:19.042,23 Jul 2021 23:47:33.606,374.564
113,24 Jul 2021 01:17:34.385,24 Jul 2021 01:23:49.417,375.032
114,24 Jul 2021 02:54:04.792,24 Jul 2021 03:00:20.780,375.988
115,24 Jul 2021 04:30:20.855,24 Jul 2021 04:36:33.103,372.248
116,24 Jul 2021 22:45:34.022,24 Jul 2021 22:51:17.760,343.738
117,25 Jul 2021 00:21:19.667,25 Jul 2021 00:27:40.797,381.130
118,25 Jul 2021 01:57:53.894,25 Jul 2021 02:04:04.949,371.055
119,25 Jul 2021 03:34:10.925,25 Jul 2021 03:40:34.143,383.218
120,25 Jul 2021 05:11:02.544,25 Jul 2021 05:15:22.111,259.567
121,25 Jul 2021 21:50:14.933,25 Jul 2021 21:54:45.247,270.314
122,25 Jul 2021 23:25:09.535,25 Jul 2021 23:31:32.879,383.344
123,26 Jul 2021 01:01:39.615,26 Jul 2021 01:07:50.371,370.755
124,26 Jul 2021 02:38:02.962,26 Jul 2021 02:44:24.638,381.676
125,26 Jul 2021 04:14:27.336,26 Jul 2021 04:20:06.511,339.176
126,26 Jul 2021 22:29:08.783,26 Jul 2021 22:35:22.693,373.910
127,27 Jul 2021 00:05:23.199,27 Jul 2021 00:11:38.468,375.269
128,27 Jul 2021 01:41:53.859,27 Jul 2021 01:48:09.452,375.593
129,27 Jul 2021 03:18:09.776,27 Jul 2021 03:24:22.614,372.838
130,27 Jul 2021 21:33:23.539,27 Jul 2021 21:39:05.433,341.894
131,27 Jul 2021 23:09:07.543,27 Jul 2021 23:15:28.945,381.402
132,28 Jul 2021 00:45:41.778,28 Jul 2021 00:51:52.648,370.870
133,28 Jul 2021 02:21:58.979,28 Jul 2021 02:28:22.139,383.161
134,28 Jul 2021 03:58:48.790,28 Jul 2021 04:03:12.941,264.150
135,28 Jul 2021 20:38:04.968,28 Jul 2021 20:42:30.804,265.836
136,28 Jul 2021 22:12:56.664,28 Jul 2021 22:19:20.028,383.364
137,28 Jul 2021 23:49:26.323,28 Jul 2021 23:55:37.193,370.870
138,29 Jul 2021 01:25:49.988,29 Jul 2021 01:32:11.329,381.341
139,29 Jul 2021 03:02:13.703,29 Jul 2021 03:07:54.771,341.068
140,29 Jul 2021 21:16:55.399,29 Jul 2021 21:23:08.676,373.277
141,29 Jul 2021 22:53:08.828,29 Jul 2021 22:59:24.440,375.612
142,30 Jul 2021 00:29:39.748,30 Jul 2021 00:35:55.025,375.277
143,30 Jul 2021 02:05:55.541,30 Jul 2021 02:12:09.045,373.505
144,30 Jul 2021 20:21:09.978,30 Jul 2021 20:26:49.962,339.984
145,30 Jul 2021 21:56:52.244,30 Jul 2021 22:03:14.007,381.763
146,30 Jul 2021 23:33:26.475,30 Jul 2021 23:39:37.254,370.779
147,31 Jul 2021 01:09:43.870,31 Jul 2021 01:16:07.040,383.171
148,31 Jul 2021 02:46:31.892,31 Jul 2021 02:51:00.714,268.823
149,31 Jul 2021 19:25:52.032,31 Jul 2021 19:30:13.111,261.080
150,31 Jul 2021 21:00:40.638,31 Jul 2021 21:07:04.071,383.434
151,31 Jul 2021 22:37:09.842,31 Jul 2021 22:43:20.923,371.081
152,1 Aug 2021 00:13:33.842,1 Aug 2021 00:19:54.924,381.082
153,1 Aug 2021 01:49:56.910,1 Aug 2021 01:55:39.965,343.055

