"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,16 Jul 2021 04:08:20.521,16 Jul 2021 04:14:40.188,379.667
81,16 Jul 2021 20:48:04.075,16 Jul 2021 20:51:12.225,188.149
82,16 Jul 2021 22:22:14.418,16 Jul 2021 22:28:36.945,382.527
83,16 Jul 2021 23:59:11.930,17 Jul 2021 00:04:42.758,330.828
84,17 Jul 2021 01:36:08.360,17 Jul 2021 01:41:31.739,323.379
85,17 Jul 2021 03:12:15.486,17 Jul 2021 03:18:37.522,382.037
86,17 Jul 2021 04:49:09.680,17 Jul 2021 04:53:31.668,261.987
87,17 Jul 2021 21:26:19.053,17 Jul 2021 21:32:28.480,369.427
88,17 Jul 2021 23:02:45.106,17 Jul 2021 23:08:38.808,353.702
89,18 Jul 2021 00:39:55.656,18 Jul 2021 00:45:07.232,311.576
90,18 Jul 2021 02:16:13.896,18 Jul 2021 02:22:20.738,366.842
91,18 Jul 2021 03:52:32.919,18 Jul 2021 03:58:21.578,348.659
92,18 Jul 2021 20:30:47.863,18 Jul 2021 20:36:06.190,318.327
93,18 Jul 2021 22:06:22.977,18 Jul 2021 22:12:37.041,374.063
94,18 Jul 2021 23:43:34.697,18 Jul 2021 23:48:49.447,314.750
95,19 Jul 2021 01:20:11.601,19 Jul 2021 01:25:55.403,343.802
96,19 Jul 2021 02:56:18.037,19 Jul 2021 03:02:37.808,379.771
97,19 Jul 2021 19:36:06.017,19 Jul 2021 19:39:05.093,179.076
98,19 Jul 2021 21:10:11.177,19 Jul 2021 21:16:33.611,382.434
99,19 Jul 2021 22:47:07.807,19 Jul 2021 22:52:39.218,331.411
100,20 Jul 2021 00:24:04.920,20 Jul 2021 00:29:27.260,322.341
101,20 Jul 2021 02:00:12.213,20 Jul 2021 02:06:33.528,381.316
102,20 Jul 2021 03:37:04.343,20 Jul 2021 03:41:30.786,266.444
103,20 Jul 2021 20:14:15.521,20 Jul 2021 20:20:23.823,368.302
104,20 Jul 2021 21:50:40.002,20 Jul 2021 21:56:34.462,354.460
105,20 Jul 2021 23:27:50.870,20 Jul 2021 23:33:01.981,311.112
106,21 Jul 2021 01:04:09.662,21 Jul 2021 01:10:15.338,365.677
107,21 Jul 2021 02:40:27.834,21 Jul 2021 02:46:18.018,350.184
108,21 Jul 2021 19:18:44.517,21 Jul 2021 19:23:59.748,315.231
109,21 Jul 2021 20:54:17.121,21 Jul 2021 21:00:31.746,374.626
110,21 Jul 2021 22:31:28.569,21 Jul 2021 22:36:43.536,314.966
111,22 Jul 2021 00:08:06.248,22 Jul 2021 00:13:48.797,342.549
112,22 Jul 2021 01:44:12.434,22 Jul 2021 01:50:32.338,379.904
113,22 Jul 2021 18:24:05.329,22 Jul 2021 18:26:54.410,169.081
114,22 Jul 2021 19:58:04.797,22 Jul 2021 20:04:27.190,382.393
